"origin_date","location","target","horizon","target_end_date","output_type","output_type_id","value"
2019-01-12,"HHS Region 1","ili perc",1,2019-01-19,"quantile",0.01,0.999999868297187
2019-01-12,"HHS Region 1","ili perc",1,2019-01-19,"quantile",0.025,2.49443962258559
2019-01-12,"HHS Region 1","ili perc",1,2019-01-19,"quantile",0.05,3.24408980326354
2019-01-12,"HHS Region 1","ili perc",1,2019-01-19,"quantile",0.1,3.45787702580687
2019-01-12,"HHS Region 1","ili perc",1,2019-01-19,"quantile",0.15,3.56411621119689
2019-01-12,"HHS Region 1","ili perc",1,2019-01-19,"quantile",0.2,3.64028585370421
2019-01-12,"HHS Region 1","ili perc",1,2019-01-19,"quantile",0.25,3.70504407627113
2019-01-12,"HHS Region 1","ili perc",1,2019-01-19,"quantile",0.3,3.75735440871502
2019-01-12,"HHS Region 1","ili perc",1,2019-01-19,"quantile",0.35,3.80848254145608
2019-01-12,"HHS Region 1","ili perc",1,2019-01-19,"quantile",0.4,3.8543942276814
2019-01-12,"HHS Region 1","ili perc",1,2019-01-19,"quantile",0.45,3.90029890757598
2019-01-12,"HHS Region 1","ili perc",1,2019-01-19,"quantile",0.5,3.945159080771
2019-01-12,"HHS Region 1","ili perc",1,2019-01-19,"quantile",0.55,3.99001925396602
2019-01-12,"HHS Region 1","ili perc",1,2019-01-19,"quantile",0.6,4.03796806759726
2019-01-12,"HHS Region 1","ili perc",1,2019-01-19,"quantile",0.65,4.08680069550797
2019-01-12,"HHS Region 1","ili perc",1,2019-01-19,"quantile",0.7,4.143100704454
2019-01-12,"HHS Region 1","ili perc",1,2019-01-19,"quantile",0.75,4.20289524597035
2019-01-12,"HHS Region 1","ili perc",1,2019-01-19,"quantile",0.8,4.28181909821378
2019-01-12,"HHS Region 1","ili perc",1,2019-01-19,"quantile",0.85,4.38886065877974
2019-01-12,"HHS Region 1","ili perc",1,2019-01-19,"quantile",0.9,4.61659233586307
2019-01-12,"HHS Region 1","ili perc",1,2019-01-19,"quantile",0.95,8.10000000015321
2019-01-12,"HHS Region 1","ili perc",1,2019-01-19,"quantile",0.975,10.6
2019-01-12,"HHS Region 1","ili perc",1,2019-01-19,"quantile",0.99,12.1
2019-01-12,"HHS Region 10","ili perc",1,2019-01-19,"quantile",0.01,0.998437705483236
2019-01-12,"HHS Region 10","ili perc",1,2019-01-19,"quantile",0.025,1.43353705394913
2019-01-12,"HHS Region 10","ili perc",1,2019-01-19,"quantile",0.05,1.53005824639047
2019-01-12,"HHS Region 10","ili perc",1,2019-01-19,"quantile",0.1,1.61567961231562
2019-01-12,"HHS Region 10","ili perc",1,2019-01-19,"quantile",0.15,1.66175122120563
2019-01-12,"HHS Region 10","ili perc",1,2019-01-19,"quantile",0.2,1.7046733635138
2019-01-12,"HHS Region 10","ili perc",1,2019-01-19,"quantile",0.25,1.73219657102008
2019-01-12,"HHS Region 10","ili perc",1,2019-01-19,"quantile",0.3,1.75971977852635
2019-01-12,"HHS Region 10","ili perc",1,2019-01-19,"quantile",0.35,1.78724298603263
2019-01-12,"HHS Region 10","ili perc",1,2019-01-19,"quantile",0.4,1.81277343005479
2019-01-12,"HHS Region 10","ili perc",1,2019-01-19,"quantile",0.45,1.83658225831095
2019-01-12,"HHS Region 10","ili perc",1,2019-01-19,"quantile",0.5,1.86039108656711
2019-01-12,"HHS Region 10","ili perc",1,2019-01-19,"quantile",0.55,1.88419991482327
2019-01-12,"HHS Region 10","ili perc",1,2019-01-19,"quantile",0.6,1.91018035573944
2019-01-12,"HHS Region 10","ili perc",1,2019-01-19,"quantile",0.65,1.94044507255991
2019-01-12,"HHS Region 10","ili perc",1,2019-01-19,"quantile",0.7,1.97070978938038
2019-01-12,"HHS Region 10","ili perc",1,2019-01-19,"quantile",0.75,2.00177662287879
2019-01-12,"HHS Region 10","ili perc",1,2019-01-19,"quantile",0.8,2.05695224749365
2019-01-12,"HHS Region 10","ili perc",1,2019-01-19,"quantile",0.85,2.12984525825771
2019-01-12,"HHS Region 10","ili perc",1,2019-01-19,"quantile",0.9,3.10000478218634
2019-01-12,"HHS Region 10","ili perc",1,2019-01-19,"quantile",0.95,8.10000000000007
2019-01-12,"HHS Region 10","ili perc",1,2019-01-19,"quantile",0.975,10.6000000000001
2019-01-12,"HHS Region 10","ili perc",1,2019-01-19,"quantile",0.99,12.1000000000001
2019-01-12,"HHS Region 2","ili perc",1,2019-01-19,"quantile",0.01,0.999945056902568
2019-01-12,"HHS Region 2","ili perc",1,2019-01-19,"quantile",0.025,2.42092513605743
2019-01-12,"HHS Region 2","ili perc",1,2019-01-19,"quantile",0.05,3.07399912811539
2019-01-12,"HHS Region 2","ili perc",1,2019-01-19,"quantile",0.1,3.37370064943643
2019-01-12,"HHS Region 2","ili perc",1,2019-01-19,"quantile",0.15,3.52796804121514
2019-01-12,"HHS Region 2","ili perc",1,2019-01-19,"quantile",0.2,3.63962026737664
2019-01-12,"HHS Region 2","ili perc",1,2019-01-19,"quantile",0.25,3.73165783980486
2019-01-12,"HHS Region 2","ili perc",1,2019-01-19,"quantile",0.3,3.81263693790433
2019-01-12,"HHS Region 2","ili perc",1,2019-01-19,"quantile",0.35,3.88568042876681
2019-01-12,"HHS Region 2","ili perc",1,2019-01-19,"quantile",0.4,3.95443987428983
2019-01-12,"HHS Region 2","ili perc",1,2019-01-19,"quantile",0.45,4.02156667259767
2019-01-12,"HHS Region 2","ili perc",1,2019-01-19,"quantile",0.5,4.08748427138879
2019-01-12,"HHS Region 2","ili perc",1,2019-01-19,"quantile",0.55,4.15460980226105
2019-01-12,"HHS Region 2","ili perc",1,2019-01-19,"quantile",0.6,4.22364540272428
2019-01-12,"HHS Region 2","ili perc",1,2019-01-19,"quantile",0.65,4.29603493838247
2019-01-12,"HHS Region 2","ili perc",1,2019-01-19,"quantile",0.7,4.37707950734546
2019-01-12,"HHS Region 2","ili perc",1,2019-01-19,"quantile",0.75,4.46914803812207
2019-01-12,"HHS Region 2","ili perc",1,2019-01-19,"quantile",0.8,4.58047329822835
2019-01-12,"HHS Region 2","ili perc",1,2019-01-19,"quantile",0.85,4.73570737904635
2019-01-12,"HHS Region 2","ili perc",1,2019-01-19,"quantile",0.9,5.03491741688335
2019-01-12,"HHS Region 2","ili perc",1,2019-01-19,"quantile",0.95,8.10000067302344
2019-01-12,"HHS Region 2","ili perc",1,2019-01-19,"quantile",0.975,10.6000000001121
