"origin_date","location","target","horizon","target_end_date","output_type","output_type_id","value"
2018-04-28,"HHS Region 1","ili perc",1,2018-05-05,"quantile",0.01,0.4230569023919
2018-04-28,"HHS Region 1","ili perc",1,2018-05-05,"quantile",0.025,0.505601963399663
2018-04-28,"HHS Region 1","ili perc",1,2018-05-05,"quantile",0.05,0.570110279127263
2018-04-28,"HHS Region 1","ili perc",1,2018-05-05,"quantile",0.1,0.655656861816397
2018-04-28,"HHS Region 1","ili perc",1,2018-05-05,"quantile",0.15,0.719778110460814
2018-04-28,"HHS Region 1","ili perc",1,2018-05-05,"quantile",0.2,0.770771544632804
2018-04-28,"HHS Region 1","ili perc",1,2018-05-05,"quantile",0.25,0.818813489648773
2018-04-28,"HHS Region 1","ili perc",1,2018-05-05,"quantile",0.3,0.862891843896417
2018-04-28,"HHS Region 1","ili perc",1,2018-05-05,"quantile",0.35,0.906422362046297
2018-04-28,"HHS Region 1","ili perc",1,2018-05-05,"quantile",0.4,0.947036293462944
2018-04-28,"HHS Region 1","ili perc",1,2018-05-05,"quantile",0.45,0.987650224879591
2018-04-28,"HHS Region 1","ili perc",1,2018-05-05,"quantile",0.5,1.03122143030956
2018-04-28,"HHS Region 1","ili perc",1,2018-05-05,"quantile",0.55,1.07608479067426
2018-04-28,"HHS Region 1","ili perc",1,2018-05-05,"quantile",0.6,1.12316569067811
2018-04-28,"HHS Region 1","ili perc",1,2018-05-05,"quantile",0.65,1.17277821863137
2018-04-28,"HHS Region 1","ili perc",1,2018-05-05,"quantile",0.7,1.22525017674504
2018-04-28,"HHS Region 1","ili perc",1,2018-05-05,"quantile",0.75,1.2811985166029
2018-04-28,"HHS Region 1","ili perc",1,2018-05-05,"quantile",0.8,1.34691539879615
2018-04-28,"HHS Region 1","ili perc",1,2018-05-05,"quantile",0.85,1.42255990733429
2018-04-28,"HHS Region 1","ili perc",1,2018-05-05,"quantile",0.9,1.51885592957761
2018-04-28,"HHS Region 1","ili perc",1,2018-05-05,"quantile",0.95,1.67316660286542
2018-04-28,"HHS Region 1","ili perc",1,2018-05-05,"quantile",0.975,1.82653375868165
2018-04-28,"HHS Region 1","ili perc",1,2018-05-05,"quantile",0.99,2.03739744725438
2018-04-28,"HHS Region 10","ili perc",1,2018-05-05,"quantile",0.01,0.240030711320702
2018-04-28,"HHS Region 10","ili perc",1,2018-05-05,"quantile",0.025,0.317922023638266
2018-04-28,"HHS Region 10","ili perc",1,2018-05-05,"quantile",0.05,0.395910902053305
2018-04-28,"HHS Region 10","ili perc",1,2018-05-05,"quantile",0.1,0.496102659071862
2018-04-28,"HHS Region 10","ili perc",1,2018-05-05,"quantile",0.15,0.563841436891356
2018-04-28,"HHS Region 10","ili perc",1,2018-05-05,"quantile",0.2,0.627011453527952
2018-04-28,"HHS Region 10","ili perc",1,2018-05-05,"quantile",0.25,0.686248911716567
2018-04-28,"HHS Region 10","ili perc",1,2018-05-05,"quantile",0.3,0.739862127739604
2018-04-28,"HHS Region 10","ili perc",1,2018-05-05,"quantile",0.35,0.791775066279354
2018-04-28,"HHS Region 10","ili perc",1,2018-05-05,"quantile",0.4,0.844028251730396
2018-04-28,"HHS Region 10","ili perc",1,2018-05-05,"quantile",0.45,0.896345493855705
2018-04-28,"HHS Region 10","ili perc",1,2018-05-05,"quantile",0.5,0.949826908043666
