"origin_date","location","target","horizon","target_end_date","output_type","output_type_id","value"
2018-02-10,"HHS Region 1","ili perc",1,2018-02-17,"quantile",0.01,0.189908541311425
2018-02-10,"HHS Region 1","ili perc",1,2018-02-17,"quantile",0.025,0.324771353278561
2018-02-10,"HHS Region 1","ili perc",1,2018-02-17,"quantile",0.05,0.549542706557123
2018-02-10,"HHS Region 1","ili perc",1,2018-02-17,"quantile",0.1,0.999085413114246
2018-02-10,"HHS Region 1","ili perc",1,2018-02-17,"quantile",0.15,1.44862811967137
2018-02-10,"HHS Region 1","ili perc",1,2018-02-17,"quantile",0.2,1.89817082622849
2018-02-10,"HHS Region 1","ili perc",1,2018-02-17,"quantile",0.25,2.34771353278561
2018-02-10,"HHS Region 1","ili perc",1,2018-02-17,"quantile",0.3,2.79725623934274
2018-02-10,"HHS Region 1","ili perc",1,2018-02-17,"quantile",0.35,3.24679894589986
2018-02-10,"HHS Region 1","ili perc",1,2018-02-17,"quantile",0.4,3.69634165245698
2018-02-10,"HHS Region 1","ili perc",1,2018-02-17,"quantile",0.45,4.14588435901411
2018-02-10,"HHS Region 1","ili perc",1,2018-02-17,"quantile",0.5,4.59542706557123
2018-02-10,"HHS Region 1","ili perc",1,2018-02-17,"quantile",0.55,5.04496977212835
2018-02-10,"HHS Region 1","ili perc",1,2018-02-17,"quantile",0.6,5.49451247868548
2018-02-10,"HHS Region 1","ili perc",1,2018-02-17,"quantile",0.65,5.90276134122288
2018-02-10,"HHS Region 1","ili perc",1,2018-02-17,"quantile",0.7,5.93093829247675
2018-02-10,"HHS Region 1","ili perc",1,2018-02-17,"quantile",0.75,5.95911524373063
2018-02-10,"HHS Region 1","ili perc",1,2018-02-17,"quantile",0.8,5.9872921949845
2018-02-10,"HHS Region 1","ili perc",1,2018-02-17,"quantile",0.85,6.01546914623838
2018-02-10,"HHS Region 1","ili perc",1,2018-02-17,"quantile",0.9,6.04364609749225
2018-02-10,"HHS Region 1","ili perc",1,2018-02-17,"quantile",0.95,6.07182304874613
2018-02-10,"HHS Region 1","ili perc",1,2018-02-17,"quantile",0.975,6.08591152437306
2018-02-10,"HHS Region 1","ili perc",1,2018-02-17,"quantile",0.99,6.09436460974923
2018-02-10,"HHS Region 10","ili perc",1,2018-02-17,"quantile",0.01,1.56788990825688
2018-02-10,"HHS Region 10","ili perc",1,2018-02-17,"quantile",0.025,1.72993630573248
2018-02-10,"HHS Region 10","ili perc",1,2018-02-17,"quantile",0.05,1.78301486199575
2018-02-10,"HHS Region 10","ili perc",1,2018-02-17,"quantile",0.1,1.91022408963585
2018-02-10,"HHS Region 10","ili perc",1,2018-02-17,"quantile",0.15,1.9452380952381
2018-02-10,"HHS Region 10","ili perc",1,2018-02-17,"quantile",0.2,1.98025210084034
2018-02-10,"HHS Region 10","ili perc",1,2018-02-17,"quantile",0.25,2.10244179443498
2018-02-10,"HHS Region 10","ili perc",1,2018-02-17,"quantile",0.3,2.11663827370812
2018-02-10,"HHS Region 10","ili perc",1,2018-02-17,"quantile",0.35,2.13083475298126
2018-02-10,"HHS Region 10","ili perc",1,2018-02-17,"quantile",0.4,2.1450312322544
