"location","origin_date","horizon","target_end_date","value","output_type_id","target","output_type"
"US National",2015-11-07,4,2015-12-05,0.645690782502936,0.01,"ili perc","quantile"
"US National",2015-11-07,4,2015-12-05,0.707101197204208,0.025,"ili perc","quantile"
"US National",2015-11-07,4,2015-12-05,0.766670243471328,0.05,"ili perc","quantile"
"US National",2015-11-07,4,2015-12-05,0.885674894574764,0.1,"ili perc","quantile"
"US National",2015-11-07,4,2015-12-05,0.974183502041928,0.15,"ili perc","quantile"
"US National",2015-11-07,4,2015-12-05,1.11097628133819,0.2,"ili perc","quantile"
"US National",2015-11-07,4,2015-12-05,1.186490524225,0.25,"ili perc","quantile"
"US National",2015-11-07,4,2015-12-05,1.21979090272176,0.3,"ili perc","quantile"
"US National",2015-11-07,4,2015-12-05,1.27913968707917,0.35,"ili perc","quantile"
"US National",2015-11-07,4,2015-12-05,1.32484229492791,0.4,"ili perc","quantile"
"US National",2015-11-07,4,2015-12-05,1.39697278638207,0.45,"ili perc","quantile"
"US National",2015-11-07,4,2015-12-05,1.46826134248973,0.5,"ili perc","quantile"
"US National",2015-11-07,4,2015-12-05,1.5538574534938,0.55,"ili perc","quantile"
"US National",2015-11-07,4,2015-12-05,1.66646837238437,0.6,"ili perc","quantile"
"US National",2015-11-07,4,2015-12-05,1.69586972666392,0.65,"ili perc","quantile"
"US National",2015-11-07,4,2015-12-05,1.76926277344729,0.7,"ili perc","quantile"
"US National",2015-11-07,4,2015-12-05,1.82520107121515,0.75,"ili perc","quantile"
"US National",2015-11-07,4,2015-12-05,1.89914060281435,0.8,"ili perc","quantile"
"US National",2015-11-07,4,2015-12-05,1.97573792359835,0.85,"ili perc","quantile"
"US National",2015-11-07,4,2015-12-05,2.09189790873663,0.9,"ili perc","quantile"
"US National",2015-11-07,4,2015-12-05,2.41744144812338,0.95,"ili perc","quantile"
"US National",2015-11-07,4,2015-12-05,2.48107790539507,0.975,"ili perc","quantile"
"US National",2015-11-07,4,2015-12-05,2.92833284457903,0.99,"ili perc","quantile"
