"location","origin_date","horizon","target_end_date","value","output_type_id","target","output_type"
"US National",2016-03-19,1,2016-03-26,2.21737097518179,0.01,"ili perc","quantile"
"US National",2016-03-19,1,2016-03-26,2.29082214086799,0.025,"ili perc","quantile"
"US National",2016-03-19,1,2016-03-26,2.40451581690757,0.05,"ili perc","quantile"
"US National",2016-03-19,1,2016-03-26,2.52205284344977,0.1,"ili perc","quantile"
"US National",2016-03-19,1,2016-03-26,2.5561500364779,0.15,"ili perc","quantile"
"US National",2016-03-19,1,2016-03-26,2.56330973625213,0.2,"ili perc","quantile"
"US National",2016-03-19,1,2016-03-26,2.58166357313285,0.25,"ili perc","quantile"
"US National",2016-03-19,1,2016-03-26,2.61390691074217,0.3,"ili perc","quantile"
"US National",2016-03-19,1,2016-03-26,2.61968092447697,0.35,"ili perc","quantile"
"US National",2016-03-19,1,2016-03-26,2.64194214480235,0.4,"ili perc","quantile"
"US National",2016-03-19,1,2016-03-26,2.65751059686446,0.45,"ili perc","quantile"
"US National",2016-03-19,1,2016-03-26,2.67427773028444,0.5,"ili perc","quantile"
"US National",2016-03-19,1,2016-03-26,2.69662672168804,0.55,"ili perc","quantile"
"US National",2016-03-19,1,2016-03-26,2.70733000492188,0.6,"ili perc","quantile"
"US National",2016-03-19,1,2016-03-26,2.72078548127428,0.65,"ili perc","quantile"
"US National",2016-03-19,1,2016-03-26,2.73946848876908,0.7,"ili perc","quantile"
"US National",2016-03-19,1,2016-03-26,2.77739009791735,0.75,"ili perc","quantile"
"US National",2016-03-19,1,2016-03-26,2.81089789393439,0.8,"ili perc","quantile"
"US National",2016-03-19,1,2016-03-26,2.83474767865752,0.85,"ili perc","quantile"
"US National",2016-03-19,1,2016-03-26,2.87399634775232,0.9,"ili perc","quantile"
"US National",2016-03-19,1,2016-03-26,3.00614534882565,0.95,"ili perc","quantile"
"US National",2016-03-19,1,2016-03-26,3.11968024928599,0.975,"ili perc","quantile"
"US National",2016-03-19,1,2016-03-26,3.29607915669893,0.99,"ili perc","quantile"
"US National",2016-03-19,2,2016-04-02,2.03856003539764,0.01,"ili perc","quantile"
"US National",2016-03-19,2,2016-04-02,2.04641590861904,0.025,"ili perc","quantile"
"US National",2016-03-19,2,2016-04-02,2.13079561604675,0.05,"ili perc","quantile"
"US National",2016-03-19,2,2016-04-02,2.27993997490803,0.1,"ili perc","quantile"
"US National",2016-03-19,2,2016-04-02,2.32002037336818,0.15,"ili perc","quantile"
"US National",2016-03-19,2,2016-04-02,2.35600650501754,0.2,"ili perc","quantile"
"US National",2016-03-19,2,2016-04-02,2.37314580267822,0.25,"ili perc","quantile"
"US National",2016-03-19,2,2016-04-02,2.41242750252283,0.3,"ili perc","quantile"
"US National",2016-03-19,2,2016-04-02,2.46679777444379,0.35,"ili perc","quantile"
"US National",2016-03-19,2,2016-04-02,2.49228072109997,0.4,"ili perc","quantile"
"US National",2016-03-19,2,2016-04-02,2.52440848896561,0.45,"ili perc","quantile"
"US National",2016-03-19,2,2016-04-02,2.5522173458518,0.5,"ili perc","quantile"
"US National",2016-03-19,2,2016-04-02,2.57604710582611,0.55,"ili perc","quantile"
"US National",2016-03-19,2,2016-04-02,2.60703079688728,0.6,"ili perc","quantile"
"US National",2016-03-19,2,2016-04-02,2.63596974664883,0.65,"ili perc","quantile"
"US National",2016-03-19,2,2016-04-02,2.66725160601008,0.7,"ili perc","quantile"
"US National",2016-03-19,2,2016-04-02,2.70052126163307,0.75,"ili perc","quantile"
"US National",2016-03-19,2,2016-04-02,2.74145133810941,0.8,"ili perc","quantile"
"US National",2016-03-19,2,2016-04-02,2.78891368142491,0.85,"ili perc","quantile"
"US National",2016-03-19,2,2016-04-02,2.87753438764446,0.9,"ili perc","quantile"
"US National",2016-03-19,2,2016-04-02,3.01072788789119,0.95,"ili perc","quantile"
"US National",2016-03-19,2,2016-04-02,3.23821581185017,0.975,"ili perc","quantile"
"US National",2016-03-19,2,2016-04-02,3.3558193243163,0.99,"ili perc","quantile"
"US National",2016-03-19,3,2016-04-09,1.50168313127788,0.01,"ili perc","quantile"
"US National",2016-03-19,3,2016-04-09,1.67657847940425,0.025,"ili perc","quantile"
"US National",2016-03-19,3,2016-04-09,1.68267995438735,0.05,"ili perc","quantile"
"US National",2016-03-19,3,2016-04-09,1.74590016038715,0.1,"ili perc","quantile"
"US National",2016-03-19,3,2016-04-09,1.82865829490601,0.15,"ili perc","quantile"
"US National",2016-03-19,3,2016-04-09,1.88188926628798,0.2,"ili perc","quantile"
"US National",2016-03-19,3,2016-04-09,1.91353063163687,0.25,"ili perc","quantile"
"US National",2016-03-19,3,2016-04-09,1.94219914460756,0.3,"ili perc","quantile"
"US National",2016-03-19,3,2016-04-09,1.96265574967963,0.35,"ili perc","quantile"
"US National",2016-03-19,3,2016-04-09,2.00113783924917,0.4,"ili perc","quantile"
"US National",2016-03-19,3,2016-04-09,2.05747358307884,0.45,"ili perc","quantile"
"US National",2016-03-19,3,2016-04-09,2.08944158297178,0.5,"ili perc","quantile"
"US National",2016-03-19,3,2016-04-09,2.10817321539387,0.55,"ili perc","quantile"
"US National",2016-03-19,3,2016-04-09,2.15745566678537,0.6,"ili perc","quantile"
"US National",2016-03-19,3,2016-04-09,2.20585007571964,0.65,"ili perc","quantile"
"US National",2016-03-19,3,2016-04-09,2.25558690098026,0.7,"ili perc","quantile"
"US National",2016-03-19,3,2016-04-09,2.28649475366277,0.75,"ili perc","quantile"
"US National",2016-03-19,3,2016-04-09,2.32770244903832,0.8,"ili perc","quantile"
"US National",2016-03-19,3,2016-04-09,2.37704916053829,0.85,"ili perc","quantile"
"US National",2016-03-19,3,2016-04-09,2.51455350101878,0.9,"ili perc","quantile"
"US National",2016-03-19,3,2016-04-09,2.66219859180338,0.95,"ili perc","quantile"
"US National",2016-03-19,3,2016-04-09,2.85242537031376,0.975,"ili perc","quantile"
"US National",2016-03-19,3,2016-04-09,3.0116749371221,0.99,"ili perc","quantile"
"US National",2016-03-19,4,2016-04-16,1.25861153207568,0.01,"ili perc","quantile"
"US National",2016-03-19,4,2016-04-16,1.28867384814661,0.025,"ili perc","quantile"
"US National",2016-03-19,4,2016-04-16,1.38030127687007,0.05,"ili perc","quantile"
"US National",2016-03-19,4,2016-04-16,1.45074771297829,0.1,"ili perc","quantile"
"US National",2016-03-19,4,2016-04-16,1.48120276454563,0.15,"ili perc","quantile"
"US National",2016-03-19,4,2016-04-16,1.53519615832916,0.2,"ili perc","quantile"
"US National",2016-03-19,4,2016-04-16,1.57291959192976,0.25,"ili perc","quantile"
"US National",2016-03-19,4,2016-04-16,1.60155962932403,0.3,"ili perc","quantile"
"US National",2016-03-19,4,2016-04-16,1.63379087394785,0.35,"ili perc","quantile"
"US National",2016-03-19,4,2016-04-16,1.70736325752323,0.4,"ili perc","quantile"
"US National",2016-03-19,4,2016-04-16,1.74289202021932,0.45,"ili perc","quantile"
"US National",2016-03-19,4,2016-04-16,1.78090860026926,0.5,"ili perc","quantile"
"US National",2016-03-19,4,2016-04-16,1.80523764432047,0.55,"ili perc","quantile"
"US National",2016-03-19,4,2016-04-16,1.84822352088604,0.6,"ili perc","quantile"
"US National",2016-03-19,4,2016-04-16,1.91863526769519,0.65,"ili perc","quantile"
"US National",2016-03-19,4,2016-04-16,1.98452929013607,0.7,"ili perc","quantile"
"US National",2016-03-19,4,2016-04-16,1.99841274268487,0.75,"ili perc","quantile"
"US National",2016-03-19,4,2016-04-16,2.07740258262008,0.8,"ili perc","quantile"
"US National",2016-03-19,4,2016-04-16,2.17144514877501,0.85,"ili perc","quantile"
"US National",2016-03-19,4,2016-04-16,2.23341730848943,0.9,"ili perc","quantile"
"US National",2016-03-19,4,2016-04-16,2.37149747861996,0.95,"ili perc","quantile"
"US National",2016-03-19,4,2016-04-16,2.53644544078006,0.975,"ili perc","quantile"
"US National",2016-03-19,4,2016-04-16,2.84754864452228,0.99,"ili perc","quantile"
