"location","target","horizon","target_end_date","output_type","output_type_id","value"
"HHS Region 1","ili perc",1,2018-04-14,"quantile",0.01,1.13043668122871
"HHS Region 1","ili perc",1,2018-04-14,"quantile",0.025,1.14487314089972
"HHS Region 1","ili perc",1,2018-04-14,"quantile",0.05,1.20784292165062
"HHS Region 1","ili perc",1,2018-04-14,"quantile",0.1,1.30019559458555
"HHS Region 1","ili perc",1,2018-04-14,"quantile",0.15,1.38404774644682
"HHS Region 1","ili perc",1,2018-04-14,"quantile",0.2,1.42256513124502
"HHS Region 1","ili perc",1,2018-04-14,"quantile",0.25,1.48583070874754
"HHS Region 1","ili perc",1,2018-04-14,"quantile",0.3,1.51879524195599
"HHS Region 1","ili perc",1,2018-04-14,"quantile",0.35,1.53172359302934
"HHS Region 1","ili perc",1,2018-04-14,"quantile",0.4,1.53631860085002
"HHS Region 1","ili perc",1,2018-04-14,"quantile",0.45,1.57033959587776
"HHS Region 1","ili perc",1,2018-04-14,"quantile",0.5,1.58321046943455
"HHS Region 1","ili perc",1,2018-04-14,"quantile",0.55,1.60484708905396
"HHS Region 1","ili perc",1,2018-04-14,"quantile",0.6,1.63356065382717
"HHS Region 1","ili perc",1,2018-04-14,"quantile",0.65,1.65826197260679
"HHS Region 1","ili perc",1,2018-04-14,"quantile",0.7,1.68447274358532
"HHS Region 1","ili perc",1,2018-04-14,"quantile",0.75,1.72195558652741
"HHS Region 1","ili perc",1,2018-04-14,"quantile",0.8,1.76966625774661
"HHS Region 1","ili perc",1,2018-04-14,"quantile",0.85,1.79897651721802
"HHS Region 1","ili perc",1,2018-04-14,"quantile",0.9,1.86127253812434
"HHS Region 1","ili perc",1,2018-04-14,"quantile",0.95,2.01563551078897
"HHS Region 1","ili perc",1,2018-04-14,"quantile",0.975,2.21222023379204
"HHS Region 1","ili perc",1,2018-04-14,"quantile",0.99,2.36191335933618
"HHS Region 1","ili perc",2,2018-04-21,"quantile",0.01,0.806729390141124
"HHS Region 1","ili perc",2,2018-04-21,"quantile",0.025,0.889275040425162
"HHS Region 1","ili perc",2,2018-04-21,"quantile",0.05,0.969443682865787
"HHS Region 1","ili perc",2,2018-04-21,"quantile",0.1,1.04632224593278
"HHS Region 1","ili perc",2,2018-04-21,"quantile",0.15,1.06945043135201
"HHS Region 1","ili perc",2,2018-04-21,"quantile",0.2,1.10326654844433
"HHS Region 1","ili perc",2,2018-04-21,"quantile",0.25,1.14112226863345
"HHS Region 1","ili perc",2,2018-04-21,"quantile",0.3,1.19951519430939
"HHS Region 1","ili perc",2,2018-04-21,"quantile",0.35,1.23424301400242
"HHS Region 1","ili perc",2,2018-04-21,"quantile",0.4,1.26139547555327
"HHS Region 1","ili perc",2,2018-04-21,"quantile",0.45,1.27473009441665
"HHS Region 1","ili perc",2,2018-04-21,"quantile",0.5,1.32150478220197
"HHS Region 1","ili perc",2,2018-04-21,"quantile",0.55,1.35938205941738
"HHS Region 1","ili perc",2,2018-04-21,"quantile",0.6,1.40851726697946
"HHS Region 1","ili perc",2,2018-04-21,"quantile",0.65,1.43287466162505
"HHS Region 1","ili perc",2,2018-04-21,"quantile",0.7,1.47521338095052
"HHS Region 1","ili perc",2,2018-04-21,"quantile",0.75,1.4981373049473
"HHS Region 1","ili perc",2,2018-04-21,"quantile",0.8,1.57559180936399
"HHS Region 1","ili perc",2,2018-04-21,"quantile",0.85,1.6381341690819
"HHS Region 1","ili perc",2,2018-04-21,"quantile",0.9,1.72587905564324
"HHS Region 1","ili perc",2,2018-04-21,"quantile",0.95,1.92470864891869
"HHS Region 1","ili perc",2,2018-04-21,"quantile",0.975,1.98960681537254
"HHS Region 1","ili perc",2,2018-04-21,"quantile",0.99,2.1162117136274
"HHS Region 1","ili perc",3,2018-04-28,"quantile",0.01,0.460535071063258
"HHS Region 1","ili perc",3,2018-04-28,"quantile",0.025,0.580031529251587
"HHS Region 1","ili perc",3,2018-04-28,"quantile",0.05,0.655486983494677
"HHS Region 1","ili perc",3,2018-04-28,"quantile",0.1,0.768426416203712
"HHS Region 1","ili perc",3,2018-04-28,"quantile",0.15,0.832053844830468
"HHS Region 1","ili perc",3,2018-04-28,"quantile",0.2,0.89392693634021
"HHS Region 1","ili perc",3,2018-04-28,"quantile",0.25,0.924584544815409
"HHS Region 1","ili perc",3,2018-04-28,"quantile",0.3,0.949663396670823
"HHS Region 1","ili perc",3,2018-04-28,"quantile",0.35,1.00398342848499
"HHS Region 1","ili perc",3,2018-04-28,"quantile",0.4,1.01957457755796
"HHS Region 1","ili perc",3,2018-04-28,"quantile",0.45,1.06080019860421
"HHS Region 1","ili perc",3,2018-04-28,"quantile",0.5,1.08126855518596
"HHS Region 1","ili perc",3,2018-04-28,"quantile",0.55,1.11557098895431
"HHS Region 1","ili perc",3,2018-04-28,"quantile",0.6,1.15680885182952
"HHS Region 1","ili perc",3,2018-04-28,"quantile",0.65,1.18964064226382
"HHS Region 1","ili perc",3,2018-04-28,"quantile",0.7,1.26546547545807
"HHS Region 1","ili perc",3,2018-04-28,"quantile",0.75,1.33170961499458
"HHS Region 1","ili perc",3,2018-04-28,"quantile",0.8,1.46510345633761
"HHS Region 1","ili perc",3,2018-04-28,"quantile",0.85,1.51549834376838
"HHS Region 1","ili perc",3,2018-04-28,"quantile",0.9,1.64102872271788
