"location","target","horizon","target_end_date","output_type","output_type_id","value"
"HHS Region 1","ili perc",1,2019-11-02,"quantile",0.01,0.743244803165788
"HHS Region 1","ili perc",1,2019-11-02,"quantile",0.025,0.765656413303501
"HHS Region 1","ili perc",1,2019-11-02,"quantile",0.05,0.824089879605076
"HHS Region 1","ili perc",1,2019-11-02,"quantile",0.1,0.928486444076819
"HHS Region 1","ili perc",1,2019-11-02,"quantile",0.15,0.996182017036857
"HHS Region 1","ili perc",1,2019-11-02,"quantile",0.2,1.02661796970757
"HHS Region 1","ili perc",1,2019-11-02,"quantile",0.25,1.05103556650876
"HHS Region 1","ili perc",1,2019-11-02,"quantile",0.3,1.06897908777503
"HHS Region 1","ili perc",1,2019-11-02,"quantile",0.35,1.08498591555076
"HHS Region 1","ili perc",1,2019-11-02,"quantile",0.4,1.10245561026281
"HHS Region 1","ili perc",1,2019-11-02,"quantile",0.45,1.11482029798011
"HHS Region 1","ili perc",1,2019-11-02,"quantile",0.5,1.14093921696741
"HHS Region 1","ili perc",1,2019-11-02,"quantile",0.55,1.15869342308536
"HHS Region 1","ili perc",1,2019-11-02,"quantile",0.6,1.19634579315
"HHS Region 1","ili perc",1,2019-11-02,"quantile",0.65,1.21857162609133
"HHS Region 1","ili perc",1,2019-11-02,"quantile",0.7,1.22927982933282
"HHS Region 1","ili perc",1,2019-11-02,"quantile",0.75,1.25092284879618
"HHS Region 1","ili perc",1,2019-11-02,"quantile",0.8,1.27976315789761
"HHS Region 1","ili perc",1,2019-11-02,"quantile",0.85,1.33954864731369
"HHS Region 1","ili perc",1,2019-11-02,"quantile",0.9,1.42247004564687
"HHS Region 1","ili perc",1,2019-11-02,"quantile",0.95,1.58923611907079
"HHS Region 1","ili perc",1,2019-11-02,"quantile",0.975,1.84693348485266
"HHS Region 1","ili perc",1,2019-11-02,"quantile",0.99,2.47641095027325
"HHS Region 1","ili perc",2,2019-11-09,"quantile",0.01,0.720300661991689
"HHS Region 1","ili perc",2,2019-11-09,"quantile",0.025,0.766798791246657
"HHS Region 1","ili perc",2,2019-11-09,"quantile",0.05,0.781312385038123
"HHS Region 1","ili perc",2,2019-11-09,"quantile",0.1,0.883628077453622
"HHS Region 1","ili perc",2,2019-11-09,"quantile",0.15,0.991694878344575
"HHS Region 1","ili perc",2,2019-11-09,"quantile",0.2,1.05637674497907
"HHS Region 1","ili perc",2,2019-11-09,"quantile",0.25,1.0738503146091
"HHS Region 1","ili perc",2,2019-11-09,"quantile",0.3,1.12154697468489
"HHS Region 1","ili perc",2,2019-11-09,"quantile",0.35,1.16552221249242
"HHS Region 1","ili perc",2,2019-11-09,"quantile",0.4,1.19908873309359
"HHS Region 1","ili perc",2,2019-11-09,"quantile",0.45,1.23161466719036
"HHS Region 1","ili perc",2,2019-11-09,"quantile",0.5,1.26081746813195
"HHS Region 1","ili perc",2,2019-11-09,"quantile",0.55,1.29876847220421
"HHS Region 1","ili perc",2,2019-11-09,"quantile",0.6,1.36041081263347
"HHS Region 1","ili perc",2,2019-11-09,"quantile",0.65,1.38025839815163
"HHS Region 1","ili perc",2,2019-11-09,"quantile",0.7,1.43321294804875
"HHS Region 1","ili perc",2,2019-11-09,"quantile",0.75,1.45797499439019
"HHS Region 1","ili perc",2,2019-11-09,"quantile",0.8,1.53058704940317
"HHS Region 1","ili perc",2,2019-11-09,"quantile",0.85,1.60617297157816
"HHS Region 1","ili perc",2,2019-11-09,"quantile",0.9,1.67205217017603
"HHS Region 1","ili perc",2,2019-11-09,"quantile",0.95,1.78085471640574
"HHS Region 1","ili perc",2,2019-11-09,"quantile",0.975,2.03192631204201
"HHS Region 1","ili perc",2,2019-11-09,"quantile",0.99,2.18251972370681
"HHS Region 1","ili perc",3,2019-11-16,"quantile",0.01,0.710417138465952
"HHS Region 1","ili perc",3,2019-11-16,"quantile",0.025,0.719081582800317
"HHS Region 1","ili perc",3,2019-11-16,"quantile",0.05,0.740119868043698
"HHS Region 1","ili perc",3,2019-11-16,"quantile",0.1,0.867320266004226
"HHS Region 1","ili perc",3,2019-11-16,"quantile",0.15,0.993259924054801
"HHS Region 1","ili perc",3,2019-11-16,"quantile",0.2,1.05751463351344
"HHS Region 1","ili perc",3,2019-11-16,"quantile",0.25,1.12996211537196
"HHS Region 1","ili perc",3,2019-11-16,"quantile",0.3,1.16570087249215
"HHS Region 1","ili perc",3,2019-11-16,"quantile",0.35,1.18414360372025
"HHS Region 1","ili perc",3,2019-11-16,"quantile",0.4,1.22377425432619
"HHS Region 1","ili perc",3,2019-11-16,"quantile",0.45,1.25596900645857
"HHS Region 1","ili perc",3,2019-11-16,"quantile",0.5,1.29793839487763
"HHS Region 1","ili perc",3,2019-11-16,"quantile",0.55,1.36053345691674
"HHS Region 1","ili perc",3,2019-11-16,"quantile",0.6,1.46593842176217
"HHS Region 1","ili perc",3,2019-11-16,"quantile",0.65,1.50595992598286
"HHS Region 1","ili perc",3,2019-11-16,"quantile",0.7,1.55233484319194
"HHS Region 1","ili perc",3,2019-11-16,"quantile",0.75,1.6207018051872
"HHS Region 1","ili perc",3,2019-11-16,"quantile",0.8,1.66634442279065
