"location","origin_date","horizon","target_end_date","value","output_type_id","target","output_type"
"HHS Region 1",2019-12-28,1,2020-01-04,3.78277245849489,0.01,"ili perc","quantile"
"HHS Region 1",2019-12-28,1,2020-01-04,3.87354658860162,0.025,"ili perc","quantile"
"HHS Region 1",2019-12-28,1,2020-01-04,4.08573297764624,0.05,"ili perc","quantile"
"HHS Region 1",2019-12-28,1,2020-01-04,4.2549247007035,0.1,"ili perc","quantile"
"HHS Region 1",2019-12-28,1,2020-01-04,4.30351157189879,0.15,"ili perc","quantile"
"HHS Region 1",2019-12-28,1,2020-01-04,4.40912025492899,0.2,"ili perc","quantile"
"HHS Region 1",2019-12-28,1,2020-01-04,4.48803099268526,0.25,"ili perc","quantile"
"HHS Region 1",2019-12-28,1,2020-01-04,4.52013714908343,0.3,"ili perc","quantile"
"HHS Region 1",2019-12-28,1,2020-01-04,4.53948201099597,0.35,"ili perc","quantile"
"HHS Region 1",2019-12-28,1,2020-01-04,4.57190016403114,0.4,"ili perc","quantile"
"HHS Region 1",2019-12-28,1,2020-01-04,4.59908013606409,0.45,"ili perc","quantile"
"HHS Region 1",2019-12-28,1,2020-01-04,4.68303222942867,0.5,"ili perc","quantile"
"HHS Region 1",2019-12-28,1,2020-01-04,4.7277175414361,0.55,"ili perc","quantile"
"HHS Region 1",2019-12-28,1,2020-01-04,4.79467850463192,0.6,"ili perc","quantile"
"HHS Region 1",2019-12-28,1,2020-01-04,4.82269092767903,0.65,"ili perc","quantile"
"HHS Region 1",2019-12-28,1,2020-01-04,4.8733964663191,0.7,"ili perc","quantile"
"HHS Region 1",2019-12-28,1,2020-01-04,4.90063675905322,0.75,"ili perc","quantile"
"HHS Region 1",2019-12-28,1,2020-01-04,4.96948393072039,0.8,"ili perc","quantile"
"HHS Region 1",2019-12-28,1,2020-01-04,5.04429688902891,0.85,"ili perc","quantile"
"HHS Region 1",2019-12-28,1,2020-01-04,5.12165906077849,0.9,"ili perc","quantile"
"HHS Region 1",2019-12-28,1,2020-01-04,5.2481561853051,0.95,"ili perc","quantile"
"HHS Region 1",2019-12-28,1,2020-01-04,5.5271610135468,0.975,"ili perc","quantile"
"HHS Region 1",2019-12-28,1,2020-01-04,5.71191101160787,0.99,"ili perc","quantile"
"HHS Region 1",2019-12-28,2,2020-01-11,4.2257817627873,0.01,"ili perc","quantile"
"HHS Region 1",2019-12-28,2,2020-01-11,4.60809182671078,0.025,"ili perc","quantile"
"HHS Region 1",2019-12-28,2,2020-01-11,4.72750426525706,0.05,"ili perc","quantile"
"HHS Region 1",2019-12-28,2,2020-01-11,4.87800838316938,0.1,"ili perc","quantile"
"HHS Region 1",2019-12-28,2,2020-01-11,4.9254645262794,0.15,"ili perc","quantile"
"HHS Region 1",2019-12-28,2,2020-01-11,5.00901511912566,0.2,"ili perc","quantile"
"HHS Region 1",2019-12-28,2,2020-01-11,5.14515079657342,0.25,"ili perc","quantile"
"HHS Region 1",2019-12-28,2,2020-01-11,5.22636530563501,0.3,"ili perc","quantile"
"HHS Region 1",2019-12-28,2,2020-01-11,5.31107558025752,0.35,"ili perc","quantile"
"HHS Region 1",2019-12-28,2,2020-01-11,5.42901815810602,0.4,"ili perc","quantile"
"HHS Region 1",2019-12-28,2,2020-01-11,5.49541101316357,0.45,"ili perc","quantile"
"HHS Region 1",2019-12-28,2,2020-01-11,5.53710163538447,0.5,"ili perc","quantile"
"HHS Region 1",2019-12-28,2,2020-01-11,5.56651042689073,0.55,"ili perc","quantile"
"HHS Region 1",2019-12-28,2,2020-01-11,5.60626174864993,0.6,"ili perc","quantile"
"HHS Region 1",2019-12-28,2,2020-01-11,5.70239701507654,0.65,"ili perc","quantile"
"HHS Region 1",2019-12-28,2,2020-01-11,5.75302769557355,0.7,"ili perc","quantile"
"HHS Region 1",2019-12-28,2,2020-01-11,5.8165179397375,0.75,"ili perc","quantile"
"HHS Region 1",2019-12-28,2,2020-01-11,5.92299127490624,0.8,"ili perc","quantile"
"HHS Region 1",2019-12-28,2,2020-01-11,5.97640299395488,0.85,"ili perc","quantile"
"HHS Region 1",2019-12-28,2,2020-01-11,6.05903067808533,0.9,"ili perc","quantile"
"HHS Region 1",2019-12-28,2,2020-01-11,6.34082811149156,0.95,"ili perc","quantile"
"HHS Region 1",2019-12-28,2,2020-01-11,6.55768605887186,0.975,"ili perc","quantile"
"HHS Region 1",2019-12-28,2,2020-01-11,7.0827981506821,0.99,"ili perc","quantile"
"HHS Region 1",2019-12-28,3,2020-01-18,4.19464051651414,0.01,"ili perc","quantile"
"HHS Region 1",2019-12-28,3,2020-01-18,4.44962751868907,0.025,"ili perc","quantile"
