"location","origin_date","horizon","target_end_date","value","output_type_id","target","output_type","region"
"US National",2017-02-18,4,2017-03-18,2.09937063328995,0.01,"ili perc","quantile","nat"
"US National",2017-02-18,4,2017-03-18,2.74305574036453,0.025,"ili perc","quantile","nat"
"US National",2017-02-18,4,2017-03-18,3.12371617983514,0.05,"ili perc","quantile","nat"
"US National",2017-02-18,4,2017-03-18,3.54164834774269,0.1,"ili perc","quantile","nat"
"US National",2017-02-18,4,2017-03-18,3.63155081512576,0.15,"ili perc","quantile","nat"
"US National",2017-02-18,4,2017-03-18,3.77635148653828,0.2,"ili perc","quantile","nat"
"US National",2017-02-18,4,2017-03-18,3.96673375199716,0.25,"ili perc","quantile","nat"
"US National",2017-02-18,4,2017-03-18,4.1908944768651,0.3,"ili perc","quantile","nat"
"US National",2017-02-18,4,2017-03-18,4.27817492152994,0.35,"ili perc","quantile","nat"
"US National",2017-02-18,4,2017-03-18,4.40972502314405,0.4,"ili perc","quantile","nat"
"US National",2017-02-18,4,2017-03-18,4.45870285166563,0.45,"ili perc","quantile","nat"
"US National",2017-02-18,4,2017-03-18,4.60490377057983,0.5,"ili perc","quantile","nat"
"US National",2017-02-18,4,2017-03-18,4.76404447596526,0.55,"ili perc","quantile","nat"
"US National",2017-02-18,4,2017-03-18,4.9062891339261,0.6,"ili perc","quantile","nat"
"US National",2017-02-18,4,2017-03-18,5.0350046926044,0.65,"ili perc","quantile","nat"
"US National",2017-02-18,4,2017-03-18,5.28483287014922,0.7,"ili perc","quantile","nat"
"US National",2017-02-18,4,2017-03-18,5.39338327683312,0.75,"ili perc","quantile","nat"
"US National",2017-02-18,4,2017-03-18,5.55448796788787,0.8,"ili perc","quantile","nat"
"US National",2017-02-18,4,2017-03-18,5.79604104006224,0.85,"ili perc","quantile","nat"
"US National",2017-02-18,4,2017-03-18,6.35527708339039,0.9,"ili perc","quantile","nat"
"US National",2017-02-18,4,2017-03-18,7.3983543618492,0.95,"ili perc","quantile","nat"
"US National",2017-02-18,4,2017-03-18,8.27324061422612,0.975,"ili perc","quantile","nat"
"US National",2017-02-18,4,2017-03-18,9.29156590101637,0.99,"ili perc","quantile","nat"
