"location","origin_date","horizon","target_end_date","value","output_type_id","target","output_type"
"HHS Region 1",2018-04-21,1,2018-04-28,0.872285329476813,0.01,"ili perc","quantile"
"HHS Region 1",2018-04-21,1,2018-04-28,0.914489072161411,0.025,"ili perc","quantile"
"HHS Region 1",2018-04-21,1,2018-04-28,1.05867051128023,0.05,"ili perc","quantile"
"HHS Region 1",2018-04-21,1,2018-04-28,1.13386172922414,0.1,"ili perc","quantile"
"HHS Region 1",2018-04-21,1,2018-04-28,1.15499171395676,0.15,"ili perc","quantile"
"HHS Region 1",2018-04-21,1,2018-04-28,1.20015112440493,0.2,"ili perc","quantile"
"HHS Region 1",2018-04-21,1,2018-04-28,1.2899915525437,0.25,"ili perc","quantile"
"HHS Region 1",2018-04-21,1,2018-04-28,1.35641452897416,0.3,"ili perc","quantile"
"HHS Region 1",2018-04-21,1,2018-04-28,1.38534504995961,0.35,"ili perc","quantile"
"HHS Region 1",2018-04-21,1,2018-04-28,1.4047919794138,0.4,"ili perc","quantile"
"HHS Region 1",2018-04-21,1,2018-04-28,1.43007434743651,0.45,"ili perc","quantile"
"HHS Region 1",2018-04-21,1,2018-04-28,1.44261014703937,0.5,"ili perc","quantile"
"HHS Region 1",2018-04-21,1,2018-04-28,1.45021057343463,0.55,"ili perc","quantile"
"HHS Region 1",2018-04-21,1,2018-04-28,1.47465557245877,0.6,"ili perc","quantile"
"HHS Region 1",2018-04-21,1,2018-04-28,1.48621246337192,0.65,"ili perc","quantile"
"HHS Region 1",2018-04-21,1,2018-04-28,1.52698948430597,0.7,"ili perc","quantile"
"HHS Region 1",2018-04-21,1,2018-04-28,1.5657544472741,0.75,"ili perc","quantile"
"HHS Region 1",2018-04-21,1,2018-04-28,1.59687129290053,0.8,"ili perc","quantile"
"HHS Region 1",2018-04-21,1,2018-04-28,1.62582520939424,0.85,"ili perc","quantile"
"HHS Region 1",2018-04-21,1,2018-04-28,1.64047439699624,0.9,"ili perc","quantile"
"HHS Region 1",2018-04-21,1,2018-04-28,1.71022879156691,0.95,"ili perc","quantile"
"HHS Region 1",2018-04-21,1,2018-04-28,1.87994110849519,0.975,"ili perc","quantile"
"HHS Region 1",2018-04-21,1,2018-04-28,2.00224237253095,0.99,"ili perc","quantile"
"HHS Region 1",2018-04-21,2,2018-05-05,0.407339949276139,0.01,"ili perc","quantile"
"HHS Region 1",2018-04-21,2,2018-05-05,0.460737339565644,0.025,"ili perc","quantile"
