"location","origin_date","target","origin_epiweek","output_type","output_type_id","oracle_value"
"nat",2015-10-17,"ili perc","2015-42","quantile",NA,1.3711
"nat",2015-10-24,"ili perc","2015-43","quantile",NA,1.39171
"nat",2015-10-31,"ili perc","2015-44","quantile",NA,1.43712
"nat",2015-11-07,"ili perc","2015-45","quantile",NA,1.50165
"nat",2015-11-14,"ili perc","2015-46","quantile",NA,1.59805
"nat",2015-11-21,"ili perc","2015-47","quantile",NA,1.89668
"nat",2015-11-28,"ili perc","2015-48","quantile",NA,1.67728
"nat",2015-12-05,"ili perc","2015-49","quantile",NA,1.78296
"nat",2015-12-12,"ili perc","2015-50","quantile",NA,1.87336
"nat",2015-12-19,"ili perc","2015-51","quantile",NA,2.32148
"nat",2015-12-26,"ili perc","2015-52","quantile",NA,2.40991
"nat",2016-01-02,"ili perc","2016-01","quantile",NA,1.94328
"nat",2016-01-09,"ili perc","2016-02","quantile",NA,1.99796
"nat",2016-01-16,"ili perc","2016-03","quantile",NA,2.11829
"nat",2016-01-23,"ili perc","2016-04","quantile",NA,2.25112
"nat",2016-01-30,"ili perc","2016-05","quantile",NA,2.37116
"nat",2016-02-06,"ili perc","2016-06","quantile",NA,2.80035
"nat",2016-02-13,"ili perc","2016-07","quantile",NA,3.16475
"nat",2016-02-20,"ili perc","2016-08","quantile",NA,3.15183
"nat",2016-02-27,"ili perc","2016-09","quantile",NA,3.3321
"nat",2016-03-05,"ili perc","2016-10","quantile",NA,3.56024
"nat",2016-03-12,"ili perc","2016-11","quantile",NA,3.05479
"nat",2016-03-19,"ili perc","2016-12","quantile",NA,2.76732
"nat",2016-03-26,"ili perc","2016-13","quantile",NA,2.44161
"nat",2016-04-02,"ili perc","2016-14","quantile",NA,2.03348
"nat",2016-04-09,"ili perc","2016-15","quantile",NA,1.98593
"nat",2016-04-16,"ili perc","2016-16","quantile",NA,1.91514
"nat",2016-04-23,"ili perc","2016-17","quantile",NA,1.69968
"nat",2016-04-30,"ili perc","2016-18","quantile",NA,1.57635
"nat",2016-05-07,"ili perc","2016-19","quantile",NA,1.3935
