"as_of","location","date","target","origin_epiweek","observation"
"2017-10-01","nat",2015-10-17,"ili perc","2015-42",1.3711
"2017-10-01","nat",2015-10-24,"ili perc","2015-43",1.39171
"2017-10-01","nat",2015-10-31,"ili perc","2015-44",1.43712
"2017-10-01","nat",2015-11-07,"ili perc","2015-45",1.50165
"2017-10-01","nat",2015-11-14,"ili perc","2015-46",1.59805
"2017-10-01","nat",2015-11-21,"ili perc","2015-47",1.89668
"2017-10-01","nat",2015-11-28,"ili perc","2015-48",1.67728
"2017-10-01","nat",2015-12-05,"ili perc","2015-49",1.78296
"2017-10-01","nat",2015-12-12,"ili perc","2015-50",1.87336
"2017-10-01","nat",2015-12-19,"ili perc","2015-51",2.32148
"2017-10-01","nat",2015-12-26,"ili perc","2015-52",2.40991
"2017-10-01","nat",2016-01-02,"ili perc","2016-01",1.94328
"2017-10-01","nat",2016-01-09,"ili perc","2016-02",1.99796
"2017-10-01","nat",2016-01-16,"ili perc","2016-03",2.11829
"2017-10-01","nat",2016-01-23,"ili perc","2016-04",2.25112
"2017-10-01","nat",2016-01-30,"ili perc","2016-05",2.37116
"2017-10-01","nat",2016-02-06,"ili perc","2016-06",2.80035
"2017-10-01","nat",2016-02-13,"ili perc","2016-07",3.16475
"2017-10-01","nat",2016-02-20,"ili perc","2016-08",3.15183
"2017-10-01","nat",2016-02-27,"ili perc","2016-09",3.3321
"2017-10-01","nat",2016-03-05,"ili perc","2016-10",3.56024
"2017-10-01","nat",2016-03-12,"ili perc","2016-11",3.05479
"2017-10-01","nat",2016-03-19,"ili perc","2016-12",2.76732
"2017-10-01","nat",2016-03-26,"ili perc","2016-13",2.44161
"2017-10-01","nat",2016-04-02,"ili perc","2016-14",2.03348
"2017-10-01","nat",2016-04-09,"ili perc","2016-15",1.98593
"2017-10-01","nat",2016-04-16,"ili perc","2016-16",1.91514
"2017-10-01","nat",2016-04-23,"ili perc","2016-17",1.69968
"2017-10-01","nat",2016-04-30,"ili perc","2016-18",1.57635
"2017-10-01","nat",2016-05-07,"ili perc","2016-19",1.3935
"2017-10-01","nat",2016-05-14,"ili perc","2016-20",1.29941
"2017-10-01","nat",2016-05-21,"ili perc","2016-21",1.18379
"2017-10-01","nat",2016-05-28,"ili perc","2016-22",1.13723
"2017-10-01","nat",2016-06-04,"ili perc","2016-23",1.04118
"2017-10-01","nat",2016-06-11,"ili perc","2016-24",0.971814
"2017-10-01","nat",2016-06-18,"ili perc","2016-25",0.863306
"2017-10-01","nat",2016-06-25,"ili perc","2016-26",0.833797
"2017-10-01","nat",2016-07-02,"ili perc","2016-27",0.784516
"2017-10-01","nat",2016-07-09,"ili perc","2016-28",0.734327
"2017-10-01","nat",2016-07-16,"ili perc","2016-29",0.698845
"2017-10-01","nat",2016-07-23,"ili perc","2016-30",0.723099
"2017-10-01","nat",2016-07-30,"ili perc","2016-31",0.663501
"2017-10-01","nat",2016-08-06,"ili perc","2016-32",0.69276
"2017-10-01","nat",2016-08-13,"ili perc","2016-33",0.710029
"2017-10-01","nat",2016-08-20,"ili perc","2016-34",0.834232
"2017-10-01","nat",2016-08-27,"ili perc","2016-35",0.992621
"2017-10-01","nat",2016-09-03,"ili perc","2016-36",1.01605
"2017-10-01","nat",2016-09-10,"ili perc","2016-37",1.07169
"2017-10-01","nat",2016-09-17,"ili perc","2016-38",1.10163
"2017-10-01","nat",2016-09-24,"ili perc","2016-39",1.18841
"2018-09-23","nat",2016-10-01,"ili perc","2016-40",1.19763
"2018-09-23","nat",2016-10-08,"ili perc","2016-41",1.22887
"2018-09-23","nat",2016-10-15,"ili perc","2016-42",1.26723
"2018-09-23","nat",2016-10-22,"ili perc","2016-43",1.36226
"2018-09-23","nat",2016-10-29,"ili perc","2016-44",1.48468
"2018-09-23","nat",2016-11-05,"ili perc","2016-45",1.55838
"2018-09-23","nat",2016-11-12,"ili perc","2016-46",1.64639
"2018-09-23","nat",2016-11-19,"ili perc","2016-47",1.91196
"2018-09-23","nat",2016-11-26,"ili perc","2016-48",1.81129
"2018-09-23","nat",2016-12-03,"ili perc","2016-49",1.91669
"2018-09-23","nat",2016-12-10,"ili perc","2016-50",2.20671
"2018-09-23","nat",2016-12-17,"ili perc","2016-51",2.73096
"2018-09-23","nat",2016-12-24,"ili perc","2016-52",3.36152
"2018-09-23","nat",2016-12-31,"ili perc","2017-01",3.09232
"2018-09-23","nat",2017-01-07,"ili perc","2017-02",3.07623
"2018-09-23","nat",2017-01-14,"ili perc","2017-03",3.50708
"2018-09-23","nat",2017-01-21,"ili perc","2017-04",3.79872
"2018-09-23","nat",2017-01-28,"ili perc","2017-05",4.43601
"2018-09-23","nat",2017-02-04,"ili perc","2017-06",5.06094
"2018-09-23","nat",2017-02-11,"ili perc","2017-07",4.85988
"2018-09-23","nat",2017-02-18,"ili perc","2017-08",4.57809
"2018-09-23","nat",2017-02-25,"ili perc","2017-09",3.55555
"2018-09-23","nat",2017-03-04,"ili perc","2017-10",3.50492
"2018-09-23","nat",2017-03-11,"ili perc","2017-11",3.21406
"2018-09-23","nat",2017-03-18,"ili perc","2017-12",3.09854
"2018-09-23","nat",2017-03-25,"ili perc","2017-13",2.79765
"2018-09-23","nat",2017-04-01,"ili perc","2017-14",2.38646
"2018-09-23","nat",2017-04-08,"ili perc","2017-15",1.96699
"2018-09-23","nat",2017-04-15,"ili perc","2017-16",1.73523
"2018-09-23","nat",2017-04-22,"ili perc","2017-17",1.5635
"2018-09-23","nat",2017-04-29,"ili perc","2017-18",1.4041
"2018-09-23","nat",2017-05-06,"ili perc","2017-19",1.27729
"2018-09-23","nat",2017-05-13,"ili perc","2017-20",1.28245
"2018-09-23","nat",2017-05-20,"ili perc","2017-21",1.16589
"2018-09-23","nat",2017-05-27,"ili perc","2017-22",1.10922
"2018-09-23","nat",2017-06-03,"ili perc","2017-23",1.04387
"2018-09-23","nat",2017-06-10,"ili perc","2017-24",0.905089
"2018-09-23","nat",2017-06-17,"ili perc","2017-25",0.900337
"2018-09-23","nat",2017-06-24,"ili perc","2017-26",0.859539
"2018-09-23","nat",2017-07-01,"ili perc","2017-27",0.818831
"2018-09-23","nat",2017-07-08,"ili perc","2017-28",0.752503
"2018-09-23","nat",2017-07-15,"ili perc","2017-29",0.7372
"2018-09-23","nat",2017-07-22,"ili perc","2017-30",0.733096
"2018-09-23","nat",2017-07-29,"ili perc","2017-31",0.73102
"2018-09-23","nat",2017-08-05,"ili perc","2017-32",0.688338
"2018-09-23","nat",2017-08-12,"ili perc","2017-33",0.732049
"2018-09-23","nat",2017-08-19,"ili perc","2017-34",0.911641
"2018-09-23","nat",2017-08-26,"ili perc","2017-35",1.02105
"2018-09-23","nat",2017-09-02,"ili perc","2017-36",1.09335
"2018-09-23","nat",2017-09-09,"ili perc","2017-37",1.09515
"2018-09-23","nat",2017-09-16,"ili perc","2017-38",1.09699
"2018-09-23","nat",2017-09-23,"ili perc","2017-39",1.18823
"2019-09-22","nat",2017-09-30,"ili perc","2017-40",1.26589
"2019-09-22","nat",2017-10-07,"ili perc","2017-41",1.30479
"2019-09-22","nat",2017-10-14,"ili perc","2017-42",1.34075
"2019-09-22","nat",2017-10-21,"ili perc","2017-43",1.51674
"2019-09-22","nat",2017-10-28,"ili perc","2017-44",1.74583
"2019-09-22","nat",2017-11-04,"ili perc","2017-45",1.88708
"2019-09-22","nat",2017-11-11,"ili perc","2017-46",2.05923
"2019-09-22","nat",2017-11-18,"ili perc","2017-47",2.27971
"2019-09-22","nat",2017-11-25,"ili perc","2017-48",2.28379
"2019-09-22","nat",2017-12-02,"ili perc","2017-49",2.58278
"2019-09-22","nat",2017-12-09,"ili perc","2017-50",3.36558
"2019-09-22","nat",2017-12-16,"ili perc","2017-51",4.73117
